,total_time,fire_size
710,7 days 05:00:00,10706.0
711,4 days 03:53:00,3206.0
712,3 days 07:37:00,1039.1
713,0 days 20:59:00,3000.0
714,7 days 04:10:00,30809.0
715,6 days 03:00:00,7400.0
716,7 days 07:00:00,1100.0
717,10 days 04:00:00,2015.0
718,1 days 00:20:00,3400.0
719,9 days 01:00:00,1062.0
720,1 days 02:45:00,1274.0
721,4 days 03:30:00,4800.0
722,55 days 16:00:00,1326.0
723,91 days 15:53:00,1848.0
724,90 days 18:15:00,13820.0
725,90 days 16:49:00,14700.0
726,83 days 21:00:00,4200.0
727,78 days 05:15:00,32000.0
728,54 days 00:32:00,3200.0
729,71 days 00:02:00,11000.0
730,50 days 18:05:00,6400.0
731,31 days 16:18:00,3200.0
732,4 days 08:12:00,1762.0
733,7 days 03:35:00,5350.0
734,30 days 04:25:00,2626.0
735,30 days 02:40:00,4300.0
736,3 days 03:35:00,3094.0
737,4 days 05:59:00,1200.0
738,27 days 01:00:00,1500.0
739,10 days 02:11:00,5700.0
740,7 days 01:45:00,21384.0
741,7 days 08:58:00,4600.0
742,4 days 07:59:00,1300.0
743,4 days 22:51:00,20768.0
744,13 days 02:30:00,43201.0
745,5 days 04:03:00,1650.0
746,2 days 11:16:00,4680.0
747,2 days 20:18:00,8780.0
748,1 days 07:12:00,1485.0
749,5 days 21:00:00,1050.0
750,36 days 01:00:00,1150.0
751,5 days 03:30:00,35696.0
752,19 days 20:30:00,2890.0
753,67 days 21:45:00,1963.0
754,18 days 09:06:00,1381.0
755,14 days 10:00:00,1002.0
756,79 days 01:45:00,8212.0
757,21 days 04:00:00,1699.0
758,21 days 05:00:00,3078.0
759,60 days 21:50:00,1551.0
760,0 days 06:55:00,1591.0
761,58 days 20:00:00,1564.0
762,57 days 21:00:00,3507.0
763,46 days 18:00:00,8497.0
764,43 days 18:30:00,1237.0
765,27 days 07:30:00,10610.0
766,5 days 19:25:00,12500.0
767,8 days 04:00:00,1440.0
768,3 days 21:45:00,2200.0
769,66 days 12:00:00,9000.0
770,56 days 04:00:00,3500.0
771,46 days 11:30:00,1300.0
